,atlas_id
0,-1
1,0
2,70
3,85
4,86
5,746
6,871
7,998
8,1073
12,203
13,1003
14,1017
15,1027
16,787
17,825
18,830
19,888
20,966
21,929
22,1095
23,1100
24,831
25,930
26,1110
27,944
28,1117
29,1125
30,339
37,747
38,1089
39,1033
40,1098
41,1105
42,934
43,938
44,751
45,635
46,953
47,647
48,653
49,1101
50,1106
51,748
52,971
53,1015
54,979
55,982
56,978
57,981
65,749
66,977
67,1004
68,985
69,989
70,625
71,629
72,750
73,958
74,1072
75,967
76,970
77,986
78,990
79,753
80,1046
81,955
82,1062
83,1068
84,1108
85,1118
86,752
87,974
88,649
89,984
90,987
91,991
92,623
100,754
101,1099
102,949
103,1119
104,1126
105,956
106,960
107,131
108,994
109,729
110,1008
111,1013
112,645
113,648
114,367
115,1102
116,1128
117,1116
118,1122
119,1097
120,1096
121,30
122,833
123,631
124,923
125,650
126,738
127,1009
128,1020
136,832
137,940
138,1021
139,950
140,954
141,1109
142,1115
143,835
144,935
145,1070
146,943
147,947
148,455
149,622
150,834
151,968
152,1084
153,972
154,976
155,630
156,640
157,366
158,1090
159,1060
160,1104
161,1107
162,1047
163,1052
164,757
165,1124
166,1103
167,1129
168,453
169,1065
170,1071
171,756
172,1025
173,1123
174,1040
175,1044
176,696
177,762
178,758
179,618
180,687
181,637
182,642
183,999
184,1005
185,755
186,1064
187,951
188,1080
189,1087
190,428
191,462
192,760
193,942
194,882
195,957
196,961
197,1037
198,1039
199,915
200,383
201,995
202,628
203,636
204,456
205,624
220,3
221,1061
222,1121
223,1082
224,1012
225,1018
226,4
227,965
228,1016
229,975
230,963
231,964
232,5
233,1063
234,885
235,1086
236,1091
237,1092
238,262
239,1011
240,1014
241,886
242,1035
243,1000
244,1006
245,146
246,1078
247,1083
248,1059
249,1093
250,980
251,983
252,230
253,881
254,1051
255,892
256,1049
257,1054
258,231
259,621
260,1041
261,644
262,620
263,626
264,232
265,1050
266,1055
267,638
268,1067
269,962
271,233
272,234
273,1111
274,884
275,1130
276,924
277,933
278,11
279,12
280,1114
281,889
282,1127
283,946
284,952
285,13
286,863
287,1010
288,891
289,1029
290,1034
291,14
292,936
293,652
294,948
295,1074
296,1077
297,314
298,394
299,932
300,969
301,945
302,820
303,883
325,392
326,1045
327,761
328,1058
329,1066
330,1024
331,1031
332,393
333,633
334,641
335,619
336,651
337,639
338,643
339,285
340,1056
341,454
342,1069
343,1075
344,1028
345,1032
353,759
360,350
361,1002
362,706
363,1019
364,1026
365,1081
366,1088
367,256
368,1057
369,959
370,1076
371,890
372,894
373,111
374,1094
375,1043
376,1113
377,1112
378,1120
379,228
380,204
381,733
382,734
383,735
384,736
385,737
386,18
387,730
388,731
389,732
390,19
391,20
392,21
393,22
394,23
395,24
396,868
397,869
398,356
399,357
400,744
401,836
402,837
403,838
404,839
405,358
406,745
407,840
408,841
409,842
410,384
411,627
412,632
413,893
414,646
415,1023
416,261
417,867
418,741
419,742
420,743
421,218
422,897
423,739
424,740
425,1137
426,78
427,79
428,872
429,873
430,874
431,80
432,81
433,921
434,895
435,875
436,876
437,877
438,82
439,922
440,896
441,878
442,879
443,880
444,239
445,898
446,899
447,900
448,901
449,353
450,913
451,1138
452,1139
453,1140
454,135
455,134
456,46
457,47
458,48
459,49
460,50
461,51
462,52
463,53
464,54
465,55
466,56
467,57
468,58
469,59
470,60
471,61
472,62
473,90
476,927
478,91
479,92
480,93
481,94
482,95
483,96
484,97
485,98
486,99
487,100
488,101
489,102
490,122
491,143
492,385
493,113
494,114
495,988
496,992
497,973
498,1079
499,1085
500,996
501,1001
502,887
503,1007
504,1038
505,993
506,997
507,115
508,914
509,916
510,1048
511,1053
512,931
513,937
514,939
515,634
516,941
517,116
518,1022
519,1030
520,1036
521,1042
522,1131
523,246
527,270
531,276
535,345
536,346
537,386
538,388
539,387
540,347
541,389
542,391
543,390
555,87
556,1
557,72
558,117
559,118
560,120
561,157
562,36
563,37
564,38
565,763
566,39
567,40
568,41
569,238
570,77
571,342
572,343
573,83
574,344
575,6
576,124
577,235
578,767
579,768
580,866
581,764
582,765
583,766
585,175
586,171
587,172
588,173
589,174
590,321
591,324
592,317
593,2
594,460
595,66
596,67
597,68
598,69
599,137
600,191
601,192
602,193
603,194
604,907
605,908
606,909
607,195
608,241
609,243
610,127
611,128
612,245
613,325
614,178
615,244
616,395
617,211
618,215
619,355
620,242
621,43
622,44
623,774
624,769
625,770
626,771
627,775
628,772
629,776
630,777
631,773
632,45
633,778
634,779
635,780
636,781
637,782
638,35
639,42
640,140
641,351
642,107
643,362
644,361
645,368
646,371
647,372
648,373
649,374
650,375
652,333
653,334
654,335
655,783
656,271
657,125
658,200
659,416
660,417
661,418
662,162
666,106
667,158
668,168
669,268
670,269
671,323
674,29
675,31
676,15
677,419
678,420
679,7
680,139
681,138
682,160
683,196
684,148
685,186
686,784
687,785
688,786
689,328
690,275
691,212
692,301
693,284
694,305
696,147
697,306
698,74
699,254
700,71
701,257
703,315
704,126
705,144
707,163
708,461
709,463
710,464
711,119
712,201
713,164
714,260
715,136
716,302
717,331
718,465
719,902
720,287
721,291
722,288
723,292
724,295
725,788
726,789
727,294
728,289
729,293
730,296
731,286
732,297
733,27
734,300
735,8
736,9
737,32
738,33
739,103
740,790
741,791
742,792
743,197
744,206
745,236
746,255
747,279
748,281
749,298
750,299
751,467
752,318
753,466
755,793
756,199
757,10
758,794
759,795
760,796
761,797
762,182
763,167
764,202
765,798
770,348
771,421
772,422
773,352
774,423
775,424
776,205
777,799
778,800
779,801
780,263
781,266
782,290
783,903
784,904
785,905
786,906
787,369
788,802
789,803
790,804
791,805
792,259
793,177
794,165
795,169
796,468
797,469
799,304
800,341
801,359
802,382
803,806
804,807
806,180
807,183
808,320
809,813
810,812
811,811
812,141
813,808
814,809
815,810
816,213
817,316
818,250
819,198
821,181
822,330
823,376
825,313
826,864
827,208
828,209
829,210
830,319
831,427
832,429
833,426
834,425
835,910
836,911
837,912
838,240
839,430
840,149
841,214
843,278
844,26
845,207
846,219
847,220
848,229
849,273
852,76
853,309
854,145
856,121
857,155
859,377
860,28
861,432
862,433
863,431
864,925
865,184
866,329
867,272
868,303
869,142
870,153
879,307
880,73
881,108
882,132
883,237
884,282
885,217
886,434
887,435
888,436
889,283
890,249
891,156
892,251
893,814
894,815
895,816
896,817
897,818
898,252
899,819
900,821
901,822
902,332
903,439
904,437
905,438
906,264
907,34
908,109
909,176
911,253
912,823
913,277
914,917
915,322
916,340
917,349
918,354
919,360
924,280
925,84
926,441
927,440
928,159
929,161
930,216
931,442
932,312
933,326
934,327
935,185
936,189
937,25
938,75
939,862
940,918
941,860
942,861
943,89
944,88
945,129
946,112
947,221
948,222
949,223
950,224
951,225
952,226
953,227
954,336
955,337
956,338
957,858
958,855
959,856
960,854
961,857
963,381
964,187
965,364
966,919
967,365
968,920
969,928
970,16
971,824
972,17
973,104
974,110
975,130
976,470
977,151
978,865
979,154
980,166
981,170
982,826
983,827
984,179
985,190
986,844
987,845
988,247
989,248
990,258
991,828
992,829
993,443
994,444
995,446
996,445
997,265
998,274
999,447
1000,448
1001,370
1002,450
1003,449
1004,452
1005,451
1006,378
1007,379
1008,380
1009,150
1010,188
1011,308
1012,311
1013,310
1014,63
1015,65
1016,1142
1017,1143
1018,1141
1019,363
1020,396
1024,397
1025,404
1029,405
1033,398
1034,406
1038,407
1042,843
1046,399
1050,400
1054,401
1058,402
1062,403
1066,133
1067,408
1071,409
1072,414
1076,415
1080,410
1084,411
1088,412
1092,413
1096,64
1097,123
1098,152
1099,105
1101,691
1102,686
1103,676
1104,684
1105,670
1106,692
1107,568
1108,507
1109,491
1110,481
1111,536
1112,671
1113,533
1114,538
1115,607
1116,580
1117,581
1118,610
1119,669
1120,573
1121,585
1122,679
1123,613
1124,654
1125,678
1126,577
1127,594
1128,512
1129,523
1130,665
1131,565
1132,563
1133,682
1134,558
1135,617
1136,542
1137,529
1138,504
1139,487
1140,506
1141,503
1142,484
1143,666
1144,680
1145,595
1146,655
1147,667
1148,681
1149,664
1150,540
1151,495
1152,489
1153,531
1154,497
1155,488
1156,471
1157,472
1158,473
1159,511
1160,674
1161,569
1162,614
1163,596
1164,598
1165,599
1166,602
1167,600
1168,597
1169,601
1170,502
1171,685
1172,658
1173,659
1174,606
1175,525
1176,859
1177,530
1178,532
1179,575
1180,564
1181,493
1182,486
1183,505
1184,485
1185,474
1186,475
1187,612
1188,656
1190,688
1191,662
1192,543
1193,496
1194,544
1195,562
1196,545
1197,546
1199,547
1200,663
1201,566
1202,539
1203,553
1204,550
1205,549
1206,548
1207,589
1208,590
1209,551
1210,552
1211,677
1212,560
1213,567
1214,576
1215,611
1218,690
1219,660
1220,583
1221,578
1222,579
1223,582
1224,604
1225,605
1226,675
1227,555
1228,556
1229,554
1230,673
1231,615
1232,593
1233,657
1234,672
1235,591
1236,592
1237,683
1238,689
1239,661
1240,534
1241,535
1242,537
1243,541
1244,561
1245,482
1246,490
1247,499
1248,517
1249,476
1250,516
1251,477
1252,478
1253,501
1254,479
1255,480
1256,513
1257,483
1258,570
1259,603
1261,668
1262,572
1263,616
1264,587
1265,609
1266,526
1267,527
1268,528
1269,586
1270,608
1271,588
1272,519
1273,520
1274,521
1275,522
1276,584
1277,571
1278,518
1279,510
1280,509
1281,508
1282,557
1283,514
1284,559
1285,524
1286,498
1287,500
1288,515
1289,574
1290,492
1291,494
1292,716
1293,717
1294,718
1295,719
1296,720
1297,721
1298,722
1299,723
1300,724
1301,725
1302,726
1303,727
1304,693
1305,694
1306,697
1307,698
1308,699
1309,700
1310,695
1311,701
1312,702
1313,703
1314,704
1315,705
1316,707
1317,708
1318,709
1319,710
1320,711
1321,712
1322,713
1323,714
1324,715
1325,926
